Mutant,MRIP1_1,MRIP1_2,MRIP1_3,MRIP2,MRIP3,MRIP4
purePursuitUSCity,0.0,0.0,0.0,0.0,0.0,0.0
Mutant_1_of_purePursuitUSCity,0.0,0.0,0.0,0.0,0.0,0.0
Mutant_2_of_purePursuitUSCity,1.0,1.0,0.0,0.0,8.0,1.0
Mutant_3_of_purePursuitUSCity,0.0,0.0,0.0,0.0,51.0,1.0
Mutant_4_of_purePursuitUSCity,0.0,0.0,0.0,3.0,38.0,12.0
Mutant_5_of_purePursuitUSCity,0.0,0.0,0.0,0.0,1.0,2.0
Mutant_6_of_purePursuitUSCity,2.0,4.0,6.0,4.0,23.0,8.0
Mutant_7_of_purePursuitUSCity,0.0,0.0,0.0,7.0,37.0,10.0
Mutant_8_of_purePursuitUSCity,0.0,0.0,0.0,0.0,2.0,0.0
Mutant_9_of_purePursuitUSCity,1.0,5.0,6.0,0.0,7.0,2.0
Mutant_10_of_purePursuitUSCity,1.0,0.0,0.0,2.0,4.0,4.0
Mutant_11_of_purePursuitUSCity,0.0,0.0,0.0,0.0,0.0,1.0
Mutant_12_of_purePursuitUSCity,0.0,0.0,0.0,4.0,38.0,11.0
Mutant_13_of_purePursuitUSCity,0.0,0.0,0.0,0.0,1.0,1.0
Mutant_14_of_purePursuitUSCity,0.0,0.0,0.0,0.0,1.0,1.0
Mutant_15_of_purePursuitUSCity,0.0,0.0,0.0,0.0,1.0,1.0
Mutant_16_of_purePursuitUSCity,0.0,0.0,0.0,0.0,1.0,1.0
Mutant_17_of_purePursuitUSCity,0.0,0.0,0.0,0.0,1.0,1.0
Mutant_18_of_purePursuitUSCity,0.0,0.0,0.0,0.0,1.0,0.0
Mutant_19_of_purePursuitUSCity,0.0,0.0,0.0,0.0,51.0,1.0
Mutant_20_of_purePursuitUSCity,1.0,2.0,4.0,0.0,2.0,3.0
