,MRIP1_1,MRIP1_2,MRIP1_3,MRIP2,MRIP3,MRIP4
Original,0,0,0,0,0,0
Mutant1,0,0,0,0,0,0
Mutant2,1,1,0,0,8,1
Mutant3,0,0,0,0,53,1
Mutant4,0,0,0,4,40,13
Mutant5,0,0,0,0,1,2
Mutant6,2,4,6,4,24,9
Mutant7,0,0,0,7,39,10
Mutant8,0,0,0,0,2,1
Mutant9,1,5,6,0,7,5
Mutant10,1,0,0,2,4,4
Mutant11,0,0,0,0,0,2
Mutant12,0,0,0,4,40,16
Mutant13,0,0,0,0,1,2
Mutant14,0,0,0,0,1,1
Mutant15,0,0,0,0,1,2
Mutant16,0,0,0,0,1,1
Mutant17,0,0,0,0,1,3
Mutant18,0,0,0,0,1,0
Mutant19,0,0,0,0,53,1
Mutant20,1,3,4,0,3,5
