,MRIP1_1,MRIP1_2,MRIP1_3,MRIP2,MRIP3,MRIP4
Original,0,0,0,0,1,1
Mutant1,0,0,0,0,0,0
Mutant2,6,6,9,38,39,26
Mutant3,4,5,3,10,24,7
Mutant4,17,17,20,20,45,34
Mutant5,0,0,0,0,0,1
Mutant6,2,2,2,8,21,7
Mutant7,0,0,0,12,21,7
Mutant8,0,0,0,0,0,0
Mutant9,16,19,17,38,44,28
Mutant10,0,0,0,0,0,0
Mutant11,0,1,1,0,1,2
Mutant12,17,17,20,25,45,28
Mutant13,0,0,0,0,0,0
Mutant14,0,0,0,0,0,1
Mutant15,0,0,0,0,0,1
Mutant16,1,1,2,3,8,2
Mutant17,0,0,0,0,0,0
Mutant18,0,0,0,0,0,0
Mutant19,4,5,3,8,24,9
Mutant20,3,1,4,5,16,6
