,MRIP1_1,MRIP1_2,MRIP1_3,MRIP2,MRIP3,MRIP4
Original,100,100,100,100,100,100
Mutant1,100,100,100,100,100,100
Mutant2,99,99,100,100,92,99
Mutant3,100,100,100,100,47,99
Mutant4,100,100,100,96,60,87
Mutant5,100,100,100,100,99,98
Mutant6,98,96,94,96,76,91
Mutant7,100,100,100,93,61,90
Mutant8,100,100,100,100,98,99
Mutant9,99,95,94,100,93,95
Mutant10,99,100,100,98,96,96
Mutant11,100,100,100,100,100,98
Mutant12,100,100,100,96,60,84
Mutant13,100,100,100,100,99,98
Mutant14,100,100,100,100,99,99
Mutant15,100,100,100,100,99,98
Mutant16,100,100,100,100,99,99
Mutant17,100,100,100,100,99,97
Mutant18,100,100,100,100,99,100
Mutant19,100,100,100,100,47,99
Mutant20,99,97,96,100,97,95
