,MRIP1_1,MRIP1_2,MRIP1_3,MRIP2,MRIP3,MRIP4
Original,100,100,100,100,99,99
Mutant1,100,100,100,100,100,100
Mutant2,94,94,91,62,61,74
Mutant3,96,95,97,90,76,93
Mutant4,83,83,80,80,55,66
Mutant5,100,100,100,100,100,99
Mutant6,98,98,98,92,79,93
Mutant7,100,100,100,88,79,93
Mutant8,100,100,100,100,100,100
Mutant9,84,81,83,62,56,72
Mutant10,100,100,100,100,100,100
Mutant11,100,99,99,100,99,98
Mutant12,83,83,80,75,55,72
Mutant13,100,100,100,100,100,100
Mutant14,100,100,100,100,100,99
Mutant15,100,100,100,100,100,99
Mutant16,99,99,98,97,92,98
Mutant17,100,100,100,100,100,100
Mutant18,100,100,100,100,100,100
Mutant19,96,95,97,92,76,91
Mutant20,97,99,96,95,84,94
