Model,MRIP,Test Case,# of Waypoints,Error distance (Source),Error distance (FollowUp),Time to destination (Source),Time to destination (FollowUp),Balancing (Source),Balancing (FollowUp),Distance to the car Follow up,Distance to the car Source,Source exec time,Follow up exec time
purePursuitUSCity,MRIP1_1,1,51,2.067760555,2.022987756,43.47,40.09,1.127653386,1.136096758,31.6227766,31.6227766,26.530003,27.6910131
purePursuitUSCity,MRIP1_1,2,51,3.195163593,3.893029255,41.64,39.4,2.245076449,2.592273312,31.6227766,31.6227766,24.8073111,24.1216994
purePursuitUSCity,MRIP1_1,3,41,1.726995945,1.472035103,25.2,23.37,0.529474757,0.545356489,31.6227766,31.6227766,20.8609695,23.2056073
purePursuitUSCity,MRIP1_1,4,11,0.003602435,0.003602404,12.95,11.99,0,0,31.6227766,31.6227766,16.7338013,19.9301754
purePursuitUSCity,MRIP1_1,5,41,1.512141593,1.467828684,71.81,64.66,1.090740959,1.099861851,31.6227766,31.6227766,32.2619429,32.8946479
purePursuitUSCity,MRIP1_1,6,51,1.224356803,1.409146271,50.49,46.6,0.931513785,1.022159192,31.6227766,31.6227766,27.1780769,34.0085327
purePursuitUSCity,MRIP1_1,7,31,23.30765748,23.32369043,43.04,40.07,0.666838101,0.709436107,31.6227766,31.6227766,25.581743,27.7935765
purePursuitUSCity,MRIP1_1,8,52,0.21010341,0.280163453,8.98,8.41,0.118890502,0.124490922,31.6227766,31.6227766,15.7290581,18.5929638
purePursuitUSCity,MRIP1_1,9,51,1.432524993,1.435208981,79.33,73.03,1.189824528,1.192021404,31.6227766,31.6227766,33.3926677,34.8262852
purePursuitUSCity,MRIP1_1,10,31,1.774226191,1.781617884,47.83,43.36,0.377910709,0.38434849,31.6227766,31.6227766,26.6148595,28.4770796
purePursuitUSCity,MRIP1_1,11,51,11.50441615,14.38846056,42.44,39.86,1.956112605,2.226372456,31.6227766,31.6227766,25.5685746,28.1064814
purePursuitUSCity,MRIP1_1,12,32,0.205494277,0.175110372,28.33,25.94,0.06855509,0.072320128,31.6227766,31.6227766,21.3530765,24.2005089
purePursuitUSCity,MRIP1_1,13,11,0.000641298,0.000641001,2.86,2.86,3.0685E-08,1.09542E-13,31.6227766,31.6227766,14.4396708,17.1919405
purePursuitUSCity,MRIP1_1,14,61,0.023023053,0.023076214,52.62,48.48,3.49849E-13,5.85865E-06,31.6227766,31.6227766,27.3370778,29.346063
purePursuitUSCity,MRIP1_1,15,71,1.903555449,1.898313437,91.8,84.46,1.223935011,1.225098123,31.6227766,31.6227766,35.7469616,37.8245664
purePursuitUSCity,MRIP1_1,16,31,22.11892196,22.03314413,29.72,28.3,0.698779803,0.726305118,31.6227766,31.6227766,22.2282769,24.7698568
purePursuitUSCity,MRIP1_1,17,41,3.415909619,3.435922448,31.57,29.11,1.089282287,1.123564852,31.6227766,31.6227766,27.2797304,28.2726741
purePursuitUSCity,MRIP1_1,18,51,2.934734904,3.007497609,44.71,40.85,0.59131344,0.625948207,31.6227766,31.6227766,25.5844346,27.8659582
purePursuitUSCity,MRIP1_1,19,62,1.909069431,1.895765248,46.88,42.97,0.618997356,0.630394095,31.6227766,31.6227766,25.8390082,28.4488264
purePursuitUSCity,MRIP1_1,20,22,0.198460424,0.185108572,30.74,28.16,0.074903087,0.076278713,31.6227766,31.6227766,22.2729659,24.4708245
purePursuitUSCity,MRIP1_1,21,21,0.05386767,0.049105909,16.12,15.21,0.011928788,0.015491673,31.6227766,31.6227766,18.19612,20.8089445
purePursuitUSCity,MRIP1_1,22,51,0.977739257,0.982621203,54.7,50.33,0.803564532,0.832721506,31.6227766,31.6227766,28.2589547,29.9058231
purePursuitUSCity,MRIP1_1,23,41,1.699503881,1.549676956,24.89,23.03,0.508405817,0.525006896,31.6227766,31.6227766,20.7556795,23.1404339
purePursuitUSCity,MRIP1_1,24,71,3.401206125,3.429854387,50.75,46.81,1.251202389,1.322296939,31.6227766,31.6227766,27.2892427,29.1478655
purePursuitUSCity,MRIP1_1,25,61,2.382926582,2.31743266,95.91,87.86,0.351101147,0.350555937,31.6227766,31.6227766,37.0830595,38.336234
purePursuitUSCity,MRIP1_1,26,61,22.67082537,22.6852894,70.42,66.05,2.083972514,2.316152034,31.6227766,31.6227766,33.46146,30.3721564
purePursuitUSCity,MRIP1_1,27,22,1.682122176,1.624568879,26.15,23.58,0.753923327,0.765504871,31.6227766,31.6227766,20.7205423,23.6224387
purePursuitUSCity,MRIP1_1,28,51,1.404454351,1.275475403,47.58,44.7,1.290434892,1.347103834,31.6227766,31.6227766,29.9531574,29.7080372
purePursuitUSCity,MRIP1_1,29,51,1.88839504,1.690212919,52.13,47.87,1.163680696,1.23877064,31.6227766,31.6227766,27.1976295,26.8459455
purePursuitUSCity,MRIP1_1,30,62,1.295789973,1.333714877,86.25,80.33,1.312889512,1.336431329,31.6227766,31.6227766,35.1167953,37.1517288
purePursuitUSCity,MRIP1_1,31,11,0.00205399,0.002059138,6.85,6.57,2.56486E-13,3.21436E-10,31.6227766,31.6227766,15.2341313,18.4810821
purePursuitUSCity,MRIP1_1,32,62,3.359556462,3.477268355,36.56,35.72,0.618224289,0.636897018,31.6227766,31.6227766,24.3819861,27.098033
purePursuitUSCity,MRIP1_1,33,51,1.220992061,1.012193829,35.43,32.73,0.86775019,0.879877162,31.6227766,31.6227766,23.4671846,26.1205165
purePursuitUSCity,MRIP1_1,34,51,1.496518801,1.405590325,53.74,49.14,0.71662237,0.727002411,31.6227766,31.6227766,27.1552885,26.3762871
purePursuitUSCity,MRIP1_1,35,71,5.302684287,5.310828496,55.76,51.85,0.757596545,0.803488216,31.6227766,31.6227766,28.4415155,30.7216067
purePursuitUSCity,MRIP1_1,36,11,0.000638738,0.000637039,3.13,3.13,1.92033E-11,8.19463E-12,31.6227766,31.6227766,14.6774057,17.2422176
purePursuitUSCity,MRIP1_1,37,22,0.918886222,0.918885437,34.24,31.85,0.803244748,0.821517291,31.6227766,31.6227766,23.0923261,25.7625245
purePursuitUSCity,MRIP1_1,38,61,1.992888061,2.037289069,60.06,54.82,0.173532834,0.189262994,31.6227766,31.6227766,29.0349089,31.2592753
purePursuitUSCity,MRIP1_1,39,21,0.915827103,0.910268241,10.59,10.06,0.13509296,0.13546224,31.6227766,31.6227766,16.3429306,19.5072806
purePursuitUSCity,MRIP1_1,40,41,4.851860317,4.911847101,31.32,29.48,1.183073257,1.24368787,31.6227766,31.6227766,26.1006105,25.2342824
purePursuitUSCity,MRIP1_1,41,51,2.833139711,3.130534288,68.86,64.72,1.303086585,1.329851109,31.6227766,31.6227766,30.9089696,33.7966025
purePursuitUSCity,MRIP1_1,42,71,3.776392468,3.772631872,67.53,61.7,2.178034981,2.271331971,31.6227766,31.6227766,30.6488467,32.7934527
purePursuitUSCity,MRIP1_1,43,81,11.37313399,12.36655422,92.98,85.71,3.363923882,3.818911451,31.6227766,31.6227766,36.2323649,37.911714
purePursuitUSCity,MRIP1_1,44,11,0.000493288,0.000493832,2.38,2.38,1.22281E-08,3.40879E-10,31.6227766,31.6227766,14.674186,17.4363392
purePursuitUSCity,MRIP1_1,45,81,1.297145287,1.190402122,53.97,49.62,1.178077475,1.195103539,31.6227766,31.6227766,28.6196497,30.4095263
purePursuitUSCity,MRIP1_1,46,92,1.297394488,1.290733522,67.62,61.89,0.633192597,0.658295255,31.6227766,31.6227766,30.7974099,32.3930959
purePursuitUSCity,MRIP1_1,47,51,5.496905826,5.505407683,46.46,43.2,0.651474862,0.681612997,31.6227766,31.6227766,26.1159445,28.2478864
purePursuitUSCity,MRIP1_1,48,111,4.62596513,4.650512762,0,0,1.3270813,1.432695677,31.6227766,31.6227766,39.0781168,41.1209824
purePursuitUSCity,MRIP1_1,49,61,3.870472996,5.121919603,54.13,50.03,2.951411663,3.321148632,31.6227766,31.6227766,28.116432,29.9169492
purePursuitUSCity,MRIP1_1,50,72,5.553312409,49.01240431,61.41,57.12,1.720896185,4.902446305,31.6227766,31.6227766,31.7563053,46.3561769
purePursuitUSCity,MRIP1_1,51,21,0.004595539,0.004593856,15.33,14.74,2.1481E-11,1.01784E-06,31.6227766,31.6227766,17.7057479,21.0738658
purePursuitUSCity,MRIP1_1,52,61,1.775597105,1.770447614,58.65,53.95,0.866398294,0.887270982,31.6227766,31.6227766,30.2299737,32.9001344
purePursuitUSCity,MRIP1_1,53,31,4.49717497,4.483115622,38.95,35.5,0.428277666,0.431231524,31.6227766,31.6227766,25.207424,29.5069654
purePursuitUSCity,MRIP1_1,54,41,4.919201706,4.939218676,49.34,45.08,0.443477316,0.462504884,31.6227766,31.6227766,28.7275915,29.7764177
purePursuitUSCity,MRIP1_1,55,51,0.212649503,0.195902447,10.4,9.73,0.063010388,0.065348788,31.6227766,31.6227766,16.5670089,19.7855542
purePursuitUSCity,MRIP1_1,56,11,0.004504473,0.265741099,9.31,8.82,0,0,31.6227766,31.6227766,15.6688739,18.7129922
purePursuitUSCity,MRIP1_1,57,41,2.171940588,2.182609317,23.55,22.32,0.496056846,0.50049782,31.6227766,31.6227766,19.7042615,22.7084169
