Model,Test Case,# of Waypoints,Error distance (Source),Time to destination (Source),Balancing (Source),Distance to the car Source,Source exec time
purePursuitUSCity,1,31,4.19173153,41.74,1.160702162,31.6227766,30.2483968
purePursuitUSCity,2,51,4.096318865,25.02,1.307195279,31.6227766,10.1073341
purePursuitUSCity,3,52,0.139713507,26.24,0.085277397,31.6227766,10.1452167
purePursuitUSCity,4,71,3.439081712,63.35,2.109998711,31.6227766,16.0198631
purePursuitUSCity,5,21,0.091034047,13.63,0.026074511,31.6227766,7.6668544
purePursuitUSCity,6,51,1.606257366,68.7,1.099947089,31.6227766,16.7504867
purePursuitUSCity,7,51,22.6620394,52.98,1.626341617,31.6227766,11.5076028
purePursuitUSCity,8,31,0.023127759,41.82,0,31.6227766,11.8425525
purePursuitUSCity,9,11,0.000755294,5.05,1.00681E-07,31.6227766,5.9864705
purePursuitUSCity,10,51,2.214008527,60.36,0.822597329,31.6227766,15.3653415
purePursuitUSCity,11,51,1.463505991,67.88,1.284263593,31.6227766,13.8884203
purePursuitUSCity,12,21,2.205370426,7.17,0.255019105,31.6227766,6.3679194
purePursuitUSCity,13,31,1.297356338,39.94,0.776532335,31.6227766,11.8871022
purePursuitUSCity,14,52,1.147901469,44.7,0.813100605,31.6227766,12.7642196
purePursuitUSCity,15,51,3.756463495,72.43,0.449937777,31.6227766,17.3339584
purePursuitUSCity,16,31,0.292884141,4.84,0.076009862,31.6227766,6.0479096
purePursuitUSCity,17,31,1.135035733,30.06,0.442105607,31.6227766,7.6428472
purePursuitUSCity,18,81,3.904854161,71.84,2.931151701,31.6227766,17.4777014
purePursuitUSCity,19,71,3.678643163,57.25,1.180184491,31.6227766,14.882429
purePursuitUSCity,20,71,1.105912026,73.61,1.027046929,31.6227766,14.8098889
purePursuitUSCity,21,51,5.101006672,48.31,0.821484793,31.6227766,13.3190282
purePursuitUSCity,22,41,0.491673165,17.05,0.438111172,31.6227766,8.109978
purePursuitUSCity,23,71,3.597149153,99999,2.181573733,31.6227766,22.4265175
purePursuitUSCity,24,61,2.744770601,78.49,0.453099237,31.6227766,18.2697854
purePursuitUSCity,25,72,55.39876392,99999,1.779945165,31.6227766,22.2807818
purePursuitUSCity,26,11,0.001905919,7.29,2.4494E-13,31.6227766,6.3652865
purePursuitUSCity,27,92,1.870247897,63.92,1.175490679,31.6227766,16.0309475
purePursuitUSCity,28,81,1.212152445,96.03,0.708550987,31.6227766,21.4263888
purePursuitUSCity,29,51,3.593502756,38.24,1.370355186,31.6227766,11.6874214
purePursuitUSCity,30,51,1.57791131,44.11,1.240326884,31.6227766,10.0200891
purePursuitUSCity,31,32,9.002641869,43.17,1.309296748,31.6227766,12.5519261
purePursuitUSCity,32,82,54.32535566,74.78,2.413849332,31.6227766,18.1363114
purePursuitUSCity,33,61,21.28057431,99999,11.71666454,31.6227766,22.0694571
purePursuitUSCity,34,92,4.913619367,99999,1.987006438,31.6227766,22.352095
purePursuitUSCity,35,21,3.260737727,23.15,0.615486677,31.6227766,9.1113427
purePursuitUSCity,36,51,2.178055998,48.38,0.676259812,31.6227766,13.3405784
