Model,MRIP,Test Case,# of Waypoints,Error distance (Source),Time to destination (Source),Balancing (Source),Distance to the car Source,Source exec time
purePursuitUSCity,MRIP1_1,1,31,4.19173153,41.74,1.160702162,31.6227766,16.8527055
purePursuitUSCity,MRIP1_1,2,51,4.096318865,25.02,1.307195279,31.6227766,12.6343559
purePursuitUSCity,MRIP1_1,3,52,0.139713507,26.24,0.085277397,31.6227766,12.7496552
purePursuitUSCity,MRIP1_1,4,71,3.439081712,63.35,2.109998711,31.6227766,18.8043343
purePursuitUSCity,MRIP1_1,5,21,0.091034047,13.63,0.026074511,31.6227766,10.4247901
purePursuitUSCity,MRIP1_1,6,51,1.606257366,68.7,1.099947089,31.6227766,19.4997497
purePursuitUSCity,MRIP1_1,7,51,22.6620394,52.98,1.626341617,31.6227766,11.6762057
purePursuitUSCity,MRIP1_1,8,31,0.023127759,41.82,0,31.6227766,14.7946138
purePursuitUSCity,MRIP1_1,9,11,0.000755294,5.05,1.00681E-07,31.6227766,8.871331
purePursuitUSCity,MRIP1_1,10,51,2.214008527,60.36,0.822597329,31.6227766,18.4730592
purePursuitUSCity,MRIP1_1,11,51,1.463505991,67.88,1.284263593,31.6227766,13.9138477
purePursuitUSCity,MRIP1_1,12,21,2.205370426,7.17,0.255019105,31.6227766,9.2642309
purePursuitUSCity,MRIP1_1,13,31,1.297356338,39.94,0.776532335,31.6227766,14.8606824
purePursuitUSCity,MRIP1_1,14,52,1.147901469,44.7,0.813100605,31.6227766,15.7623686
purePursuitUSCity,MRIP1_1,15,51,3.756463495,72.43,0.449937777,31.6227766,20.5353877
purePursuitUSCity,MRIP1_1,16,31,0.292884141,4.84,0.076009862,31.6227766,8.9904673
purePursuitUSCity,MRIP1_1,17,31,1.135035733,30.06,0.442105607,31.6227766,7.6272904
purePursuitUSCity,MRIP1_1,18,81,3.904854161,71.84,2.931151701,31.6227766,20.4913726
purePursuitUSCity,MRIP1_1,19,71,3.678643163,57.25,1.180184491,31.6227766,18.0163077
purePursuitUSCity,MRIP1_1,20,71,1.105912026,73.61,1.027046929,31.6227766,14.8344985
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,1,31,21.65586442,27.47,214.782627,31.6227766,178.9941491
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,2,51,1.438586688,4.41,0.21471998,31.6227766,9.1756591
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,3,52,0.205568525,25.03,0.094955852,31.6227766,12.5764433
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,4,71,5.333763851,64.24,2.935444959,31.6227766,19.2363371
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,5,21,0.107373603,12.55,0.021169461,31.6227766,10.413291
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,6,51,1.394085013,63.84,1.3807872,31.6227766,18.8939245
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,7,51,22.64868666,46.57,2.966999606,31.6227766,10.3774447
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,8,31,0.023127759,35.36,0,31.6227766,13.9421715
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,9,11,0.000748172,2.45,2.44249E-14,31.6227766,8.5858158
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,10,51,0.670575704,49.16,0.969380697,31.6227766,16.6039483
