testcase,distance
1,218.3187
2,212.2906
3,198.6789
4,608.5113
5,126.6094
6,441.5087
7,438.2584
8,261
9,15.1618
10,336.5686
11,439.863
12,45.2031
13,292.7278
14,397.9853
15,408.3634
16,30.3067
17,131.8188
18,633.8677
19,436.9957
20,519.7911
21,391.9735
22,125.6807
23,620.4034
24,516.0642
25,589.7927
26,38.1159
27,514.8249
28,564.4819
29,329.9523
30,372.4536
31,260.7522
32,689.0113
33,461.8016
34,813.9982
35,109.0687
36,458.8245
37,265.9641
38,586.8556
39,423.942
40,442.0744
41,32.9624
42,541.4307
43,22.6335
44,198.6689
45,224.1937
46,269.5517
47,429.3262
48,87.9601
49,182.42
50,185.9249
51,125.0068
52,287.8153
53,632.4214
54,324.8546
55,109.25
56,442.1865
57,261.489
58,500.1189
59,476.5936
60,281.9628
61,313.8856
62,276.1445
63,404.1693
64,272.4762
65,241.0815
66,328.0327
67,306.4917
68,312.4623
69,31.9
70,652.7684
71,273.9851
72,663.616
73,414.4418
74,177.3797
75,166.4053
76,225.8849
77,599.7343
78,440.4833
79,311.094
80,382.506
81,460.3624
82,245.0827
83,202.9635
84,368.1444
85,660.531
86,242.7447
87,410.884
88,281.9249
89,639.375
90,597.1513
91,407.4223
92,220.7532
93,206.0027
94,98.96
95,512.2936
96,567.5829
97,426.0768
98,393.4821
99,30.3067
100,386.8315
101,200.5547
102,441.2024
103,31.9
104,21.2212
105,245.7489
106,572.7828
107,296.4843
108,520.6136
109,331.3583
110,445.3698
111,453.2641
112,493.564
113,221.5915
114,627.896
115,519.7248
116,367.7791
117,129.55
118,516.1243
119,132.3285
120,262.0101
121,427.9068
122,383.4448
123,219.0891
124,334.2625
125,236.5747
126,91.0691
127,149.6859
128,369.8687
129,295.6943
130,117.0989
131,96.7527
132,416.1917
133,357.5479
134,676.6927
135,203.3328
136,432.8735
137,77.3292
138,103.6192
139,277.9515
140,317.1654
141,198.7193
142,191.1895
143,433.9225
144,246.0824
145,501.07
146,374.3137
147,121.8459
148,447.5484
149,170.6673
150,98.96
151,404.0151
152,464.7921
153,231.8246
154,555.1248
155,561.4974
156,114.9115
157,458.5075
158,281.7884
159,529.3378
160,368.902
161,92.8784
162,403.6684
163,332.1246
164,459.4271
165,41.2
166,301.0674
167,300.9228
168,213.4778
169,201.9623
170,206.1102
171,306.4282
172,332.0349
173,569.6984
174,164.1806
175,667.8186
176,556.4937
177,459.9453
178,87.9601
179,241.1426
180,403.8151
181,39.17
182,364.5655
183,0.041231
184,316.3585
185,115.5353
186,40.6553
187,30.7768
188,162
189,496.3236
190,346.0881
191,282.1249
192,354.1536
193,372.125
194,295.3506
195,684.9056
196,259.6853
197,392.4315
198,461.2355
199,251.8406
200,353.1521
201,150.42
202,347.619
203,284.1913
204,639.375
205,565.9823
206,499.1965
207,706.5433
208,456.5458
209,419.9131
210,412.9045
211,354.1362
212,395.9528
213,587.982
214,287.8153
215,707.2448
216,669.4402
217,471.1864
218,41.2
219,507.3529
220,489.621
221,348.0579
222,53.1556
223,111.1489
224,609.8664
225,427.2892
226,394.3804
227,72
228,370.0091
229,221.032
230,349.8306
231,386.2323
232,347.9249
233,109.25
234,208.9386
235,62.964
236,338.9166
237,321.6529
238,234.2952
239,713.3385
240,667.905
241,356.1097
242,628.376
243,45.9393
244,162
245,367.1268
246,275.1982
247,465.2191
248,676.0277
249,559.9031
250,313.8856
251,314.5019
252,288.4099
253,552.3303
254,61.0835
255,365.7847
256,351.8503
257,300.9101
258,441.5644
259,609.315
260,12.8251
261,401.1203
262,516.5324
263,38.1159
264,30.3263
265,31.8411
266,200.0876
267,665.5556
268,482.3081
269,336.0317
270,220.5045
271,706.1937
272,575.6946
273,596.5995
274,630.742
275,341.2899
276,62.964
277,420.852
278,40.6553
279,277.38
280,424.4621
281,292.8955
282,601.469
283,0.04
284,266.3083
285,267.3013
286,670.4942
287,499.1327
288,205.5587
289,30.7768
290,32.6
291,481.6121
292,400.4418
293,149.6323
294,682.9962
295,176.6793
296,582.2318
297,109.3023
298,280.3376
299,234.4163
300,301.6803
301,362.813
302,433.3694
303,366.5242
304,570.2515
305,482.0292
306,292.0524
307,218.9961
308,175.3634
309,414.394
310,414.1805
311,461.182
312,447.3964
313,181.6367
314,413.672
315,40.33
316,456.6099
317,230.1245
318,538.697
319,450.052
320,341.1546
321,519.9858
322,419.3213
323,206.1102
324,544.4224
325,219.38
326,343.0904
327,374.1913
328,392.3778
329,390.1128
330,649.645
331,411.0919
332,221.0484
333,2.4801
334,599.5399
335,620.0764
336,356.0383
337,267.3013
338,359.3798
339,288.4845
340,324.6163
341,194.5107
342,198.4918
343,270.8835
344,536.904
345,316.0084
346,230.4756
347,626.9023
348,512.4143
349,429.8134
350,335.7208
351,600.8484
352,286.121
353,535.2122
354,148.33
355,583.7975
356,552.2556
357,332.4941
358,1.25
359,218.51
360,244.4376
361,282.1249
362,203.7634
363,162
364,385.8515
365,73.2929
366,543.8431
367,388.7753
368,144.0549
369,319.8905
370,252.7153
371,335.8359
372,90.7093
373,244.135
374,441.9813
375,42.1007
376,350.4598
377,676.9431
378,499.9989
379,196.3905
380,459.7983
381,559.9031
382,228.4501
383,326.0989
384,405.1053
385,383.1442
386,439.7347
387,334.0718
388,203.3328
389,442.361
390,658.9749
391,321.9696
392,552.1718
393,353.6731
394,459.7624
395,16.3126
396,302.6876
397,261
398,291.5525
399,637.532
400,439.0143
401,635.1043
402,225.8849
403,180.9123
404,549.5987
405,346.0487
406,227.11
407,282.0549
408,766.6808
409,386.8145
410,221.77
411,293.0953
412,438.9505
413,394.6841
414,378.2441
415,286.6409
416,110.5
417,525.554
418,493.0945
419,283.04
420,676.9782
421,321.3384
422,117.5701
423,182.22
424,236.8058
